train_number,from_station,from_time,from_delay,to_station,to_time,to_delay
ICE 698,Stuttgart Hbf,07:36,Berlin Hbf,00:11,12
ICE 618,Stuttgart Hbf,11:23,Kiel Hbf,02:22,2
IC 2326,Stuttgart Hbf,05:30,Frankfurt(Main)West,02:26,
IC 34,Stuttgart Hbf,03:04,Pforzheim Hbf,02:26,
ICE 774,Stuttgart Hbf,11:36,Hamburg Hbf,05:02,
ICE 699,Stuttgart Hbf,08:08,München Hbf,05:34,1
ICE 616,Stuttgart Hbf,12:30,Hamburg-Altona,05:51,1
IC 2298,Stuttgart Hbf,08:00,Frankfurt(Main)Hbf,06:02,4
ICE 1061,Stuttgart Hbf,07:54,München Hbf,06:02,1
IC 2061,Stuttgart Hbf,07:49,Ansbach,06:05,
IC 2571,Stuttgart Hbf,10:17,Singen(Hohentwiel),06:20,1
ICE 1163,Stuttgart Hbf,08:30,München Hbf,06:24,
ICE 1118,Stuttgart Hbf,08:33,Wiesbaden Hbf,06:26,
ICE 1014,Stuttgart Hbf,09:21,Düsseldorf Hbf,06:36,
ICE 561,Stuttgart Hbf,08:49,München Hbf,06:50,4
ICE 694,Stuttgart Hbf,13:00,Berlin Hbf,06:50,
TGV 9578,Stuttgart Hbf,10:13,Paris Est,06:52,3
ICE 1068,Stuttgart Hbf,07:52,Karlsruhe Hbf,07:10,
ICE 557,Stuttgart Hbf,15:17,Berlin Ostbahnhof,07:13,1
IC 2531,Stuttgart Hbf,07:47,Herrenberg,07:15,
ICE 991,Stuttgart Hbf,09:18,München Hbf,07:15,
ICE 772,Stuttgart Hbf,13:36,Hamburg Hbf,07:25,
ICE 911,Stuttgart Hbf,09:28,München Hbf,07:28,
ICE 1949,Stuttgart Hbf,18:40,Dresden Hbf,07:36,1
IC 897,Stuttgart Hbf,10:28,Lindau-Reutin,07:44,
RJX 897,Stuttgart Hbf,17:57,Flughafen Wien,07:44,
ICE 614,Stuttgart Hbf,14:30,Hamburg-Altona,07:51,
EC 217,Stuttgart Hbf,16:14,Graz Hbf,07:59,
IC 2164,Stuttgart Hbf,23:00,Karlsruhe Hbf,07:59,
ICE 1098,Stuttgart Hbf,09:40,Frankfurt(Main)Hbf,08:05,3
IC 2063,Stuttgart Hbf,14:04,Leipzig Hbf,08:08,1
ICE 511,Stuttgart Hbf,10:26,München Hbf,08:14,62
ICE 1012,Stuttgart Hbf,12:05,Dortmund Hbf,08:39,3
ICE 267,Stuttgart Hbf,10:49,München Hbf,08:51,1
