train_number,from_station,from_time,from_delay,to_station,to_time,to_delay
ICE 1080,Würzburg Hbf,08:09,Hamburg Hbf,01:19,3
ICE 24,Würzburg Hbf,07:05,Lüneburg,01:50,
NJ 40490,Würzburg Hbf,11:01,Amsterdam Centraal,02:32,
NJ 420,Würzburg Hbf,11:01,Amsterdam Centraal,02:32,FALSE
NJ 40420,Würzburg Hbf,09:05,Hamburg-Altona,02:53,120
NJ 490,Würzburg Hbf,09:05,Hamburg-Altona,02:53,120
ICE 1081,Würzburg Hbf,07:18,München Hbf,03:53,13
ICE 827,Würzburg Hbf,08:06,München Hbf,06:04,7
ICE 1022,Würzburg Hbf,11:25,Dortmund Hbf,06:24,
ICE 888,Würzburg Hbf,10:21,Hamburg Hbf,06:28,
ICE 822,Würzburg Hbf,09:46,Düsseldorf Hbf,06:55,3
ICE 521,Würzburg Hbf,09:06,München Hbf,07:04,
ICE 684,Würzburg Hbf,11:22,Hamburg Hbf,07:30,2
ICE 781,Würzburg Hbf,09:42,München Hbf,07:30,8
ICE 21,Würzburg Hbf,12:47,Wien Hbf,07:34,12
ICE 820,Würzburg Hbf,10:50,Düsseldorf Hbf,07:55,
ICE 523,Würzburg Hbf,10:06,München Hbf,08:04,
ICE 1020,Würzburg Hbf,16:06,Hamburg-Altona,08:24,44
ICE 886,Würzburg Hbf,12:21,Hamburg Hbf,08:28,
ICE 581,Würzburg Hbf,10:45,München Hbf,08:31,1
ICE 728,Würzburg Hbf,11:47,Düsseldorf Hbf,08:55,
ICE 525,Würzburg Hbf,11:07,München Hbf,09:04,5
ICE 682,Würzburg Hbf,13:22,Hamburg Hbf,09:28,7
ICE 783,Würzburg Hbf,11:42,München Hbf,09:31,19
ICE 23,Würzburg Hbf,14:47,Wien Hbf,09:34,
ICE 726,Würzburg Hbf,12:48,Düsseldorf Hbf,09:55,1
ICE 527,Würzburg Hbf,12:10,München Hbf,10:04,
ICE 928,Würzburg Hbf,18:07,Hamburg-Altona,10:24,1
ICE 882,Würzburg Hbf,14:22,Hamburg Hbf,10:28,4
ICE 533,Würzburg Hbf,12:40,München Hbf,10:30,8
ICE 583,Würzburg Hbf,12:40,München Hbf,10:30,8
ICE 724,Würzburg Hbf,13:51,Düsseldorf Hbf,10:55,
ICE 529,Würzburg Hbf,13:05,München Hbf,11:04,9
IC 2083,Würzburg Hbf,17:04,Berchtesgaden Hbf,11:24,21
IC 2085,Würzburg Hbf,16:11,Oberstdorf,11:24,21
ICE 680,Würzburg Hbf,15:39,Hamburg Hbf,11:29,1
ICE 1621,Würzburg Hbf,13:42,München Hbf,11:31,
ICE 91,Würzburg Hbf,16:47,Wien Hbf,11:34,23
ICE 722,Würzburg Hbf,14:49,Düsseldorf Hbf,11:55,2
