,id,additionalIds,ril100,nr,name,weight,category,priceCategory,hasParking,hasBicycleParking,hasLocalPublicTransport,hasPublicFacilities,hasLockerSystem,hasTaxiRank,hasTravelNecessities,hasSteplessAccess,hasMobilityService,hasWiFi,hasTravelCenter,hasRailwayMission,hasDBLounge,hasLostAndFound,hasCarRental,federalState,ril100Identifiers,location.type,location.latitude,location.longitude,operator.type,operator.id,operator.name,regionalbereich.number,regionalbereich.name,regionalbereich.shortName,szentrale.number,szentrale.publicPhoneNumber,szentrale.name,stationManagement.number,stationManagement.name,productLine.type,productLine.segment,platforms
0,8000001,[],KA,1,Aachen Hbf,387.4,2,2,True,True,True,True,True,True,True,yes,"Ja, um Voranmeldung unter 030 65 21 28 88 (Ortstarif) wird gebeten",True,True,True,False,True,False,Nordrhein-Westfalen,"[{'rilIdentifier': 'KA', 'isMain': True, 'hasSteamPermission': True, 'steamPermission': 'unrestricted', 'geographicCoordinates': {'type': 'Point', 'coordinates': [6.091499, 50.7678]}}]",location,50.7678,6.091499,operator,zweckverband-nahverkehr-rheinland-gmbh,NVR,4,RB West,RB West,15,0203/30171055,Duisburg Hbf,45,Düsseldorf,Knotenbahnhof,Großstadtknoten,11.0
1,8000002,[],TA,4,Aalen Hbf,240.85,3,3,True,True,True,True,True,True,True,yes,"Ja, um Voranmeldung unter 030 65 21 28 88 (Ortstarif) wird gebeten",True,True,True,False,True,False,Baden-Württemberg,"[{'rilIdentifier': 'TA', 'isMain': True, 'hasSteamPermission': True, 'steamPermission': 'unrestricted', 'geographicCoordinates': {'type': 'Point', 'coordinates': [10.096271, 48.841013]}}]",location,48.841013,10.096271,operator,nahverkehrsgesellschaft-baden-wurttemberg-mbh,NVBW,6,RB Südwest,RB Südwest,33,0711/20921055,Stuttgart Hbf,214,Ulm,Knotenbahnhof,Regionaler Knoten,7.0
2,8000004,[],HA,85,Altenbeken,111.3,3,3,True,True,True,True,False,True,False,yes,"Ja, um Voranmeldung unter 030 65 21 28 88 (Ortstarif) wird gebeten",False,False,True,False,False,False,Nordrhein-Westfalen,"[{'rilIdentifier': 'HA', 'isMain': True, 'hasSteamPermission': True, 'steamPermission': 'unrestricted', 'geographicCoordinates': {'type': 'Point', 'coordinates': [8.943319, 51.766433]}}]",location,51.766433,8.943319,operator,zweckverband-nahverkehr-westfalen-lippe,NWL,4,RB West,RB West,14,0231/7291055,Dortmund Hbf,39,Bielefeld,Knotenbahnhof,Regionaler Knoten,7.0
3,8000007,[],FALZ,133,Alzey,98.95,3,3,True,True,True,False,False,True,False,yes,no,False,False,False,False,False,False,Rheinland-Pfalz,"[{'rilIdentifier': 'FALZ', 'isMain': True, 'hasSteamPermission': True, 'steamPermission': 'unrestricted', 'geographicCoordinates': {'type': 'Point', 'coordinates': [8.109749, 49.7502]}}]",location,49.7502,8.109749,operator,zweckverband-schienenpersonennahverkehr-rheinland-pfalz-sud,ZPNV Süd,5,RB Mitte,RB Mitte,24,06131/151055,Mainz Hbf,184,Mainz,Knotenbahnhof,Regionaler Knoten,7.0
4,8000009,[],NAN,161,Ansbach,353.65,3,3,True,True,True,True,False,True,True,yes,"Ja, um Voranmeldung unter 030 65 21 28 88 (Ortstarif) wird gebeten",False,True,False,False,True,False,Bayern,"[{'rilIdentifier': 'NAN', 'isMain': True, 'hasSteamPermission': True, 'steamPermission': 'unrestricted', 'geographicCoordinates': {'type': 'Point', 'coordinates': [10.578239, 49.298032]}}]",location,49.298032,10.578239,operator,bayerische-eisenbahngesellschaft-mbh,BEG,7,RB Süd,RB Süd,42,0911/2191055,Nürnberg Hbf,228,Nürnberg,Knotenbahnhof,Regionaler Knoten,26.0
5,8000010,[],NAH,187,Aschaffenburg Hbf,540.25,2,2,True,True,True,True,True,True,True,yes,"Ja, um Voranmeldung unter 030 65 21 28 88 (Ortstarif) wird gebeten",True,True,True,False,True,False,Bayern,"[{'rilIdentifier': 'NAH', 'isMain': True, 'hasSteamPermission': True, 'steamPermission': 'unrestricted', 'geographicCoordinates': {'type': 'Point', 'coordinates': [9.143697, 49.980557]}}]",location,49.980557,9.143697,operator,bayerische-eisenbahngesellschaft-mbh,BEG,7,RB Süd,RB Süd,44,0931/341055,Würzburg Hbf,236,Nordfranken,Knotenbahnhof,Regionaler Knoten,12.0
6,8000011,[],AAG,191,Ascheberg (Holst),54.55,5,5,True,True,True,True,False,True,False,no,no,False,False,False,False,False,False,Schleswig-Holstein,"[{'rilIdentifier': 'AAG', 'isMain': True, 'hasSteamPermission': True, 'steamPermission': 'unrestricted', 'geographicCoordinates': {'type': 'Point', 'coordinates': [10.339481, 54.148462]}}]",location,54.148462,10.339481,operator,nahverkehrsverbund-schleswig-holstein-gmbh,NAH.SH,3,RB Nord,RB Nord,3,0431-2479-1055,Kiel Hbf,4,Schleswig-Holstein,Zubringerbahnhof,Regionaler Zubringer,3.0
7,8000012,[],KAU,204,Au (Sieg),83.1,3,3,True,True,True,False,False,True,False,yes,no,False,True,False,False,False,False,Nordrhein-Westfalen,"[{'rilIdentifier': 'KAU', 'isMain': True, 'hasSteamPermission': True, 'steamPermission': 'unrestricted', 'geographicCoordinates': {'type': 'Point', 'coordinates': [7.656537, 50.773765]}}]",location,50.773765,7.656537,operator,zweckverband-nahverkehr-rheinland-gmbh,NVR,4,RB West,RB West,19,0221/1411055,Köln Hbf,52,Köln,Knotenbahnhof,Regionaler Knoten,13.0
8,8000013,[],MA,220,Augsburg Hbf,859.05,1,2,True,True,True,True,True,True,True,partial,"Ja, um Voranmeldung unter 030 65 21 28 88 (Ortstarif) wird gebeten",True,True,True,False,True,True,Bayern,"[{'rilIdentifier': 'MA', 'isMain': True, 'hasSteamPermission': True, 'steamPermission': 'unrestricted', 'geographicCoordinates': {'type': 'Point', 'coordinates': [10.88557, 48.365441]}}]",location,48.365441,10.88557,operator,bayerische-eisenbahngesellschaft-mbh,BEG,7,RB Süd,RB Süd,38,089/13081055,München Hbf,237,Augsburg,Knotenbahnhof,Großstadtknoten,70.0
9,8000014,[],TAU,226,Aulendorf,84.2,4,4,True,True,True,True,False,False,True,partial,Nur nach Voranmeldung unter 030 65 21 28 88 (Ortstarif),False,False,True,False,True,False,Baden-Württemberg,"[{'rilIdentifier': 'TAU', 'isMain': True, 'hasSteamPermission': True, 'steamPermission': 'unrestricted', 'geographicCoordinates': {'type': 'Point', 'coordinates': [9.644046, 47.953052]}}]",location,47.953052,9.644046,operator,nahverkehrsgesellschaft-baden-wurttemberg-mbh,NVBW,6,RB Südwest,RB Südwest,33,0711/20921055,Stuttgart Hbf,201,Friedrichshafen,Knotenbahnhof,Regionaler Knoten,7.0
10,8000015,[],FBA,238,Babenhausen (Hess),114.2,5,5,True,True,True,True,False,True,True,yes,no,False,False,False,False,False,False,Hessen,"[{'rilIdentifier': 'FBA', 'isMain': True, 'hasSteamPermission': True, 'steamPermission': 'unrestricted', 'geographicCoordinates': {'type': 'Point', 'coordinates': [8.957182, 49.957963]}}]",location,49.957963,8.957182,operator,rhein-main-verkehrsverbund-gmbh,RMV,5,RB Mitte,RB Mitte,45,069/2651055,Frankfurt (Main) Hbf,157,Darmstadt,Knotenbahnhof,Regionaler Knoten,6.0
11,8000016,[],TB,244,Backnang,203.1,3,3,True,True,True,False,False,True,True,partial,no,False,True,False,False,False,False,Baden-Württemberg,"[{'rilIdentifier': 'TB', 'isMain': True, 'hasSteamPermission': True, 'steamPermission': 'unrestricted', 'geographicCoordinates': {'type': 'Point', 'coordinates': [9.425989, 48.942676]}}]",location,48.942676,9.425989,operator,nahverkehrsgesellschaft-baden-wurttemberg-mbh,NVBW,6,RB Südwest,RB Südwest,33,0711/20921055,Stuttgart Hbf,212,Stuttgart,Knotenbahnhof,Regionaler Knoten,7.0
12,8000017,[],TBF,277,Bad Friedrichshall Hbf,162.75,3,3,True,True,True,False,False,True,True,yes,no,False,False,False,False,False,False,Baden-Württemberg,"[{'rilIdentifier': 'TBF', 'isMain': True, 'hasSteamPermission': True, 'steamPermission': 'unrestricted', 'geographicCoordinates': {'type': 'Point', 'coordinates': [9.199771, 49.231571]}}]",location,49.231571,9.199771,operator,nahverkehrsgesellschaft-baden-wurttemberg-mbh,NVBW,6,RB Südwest,RB Südwest,32,0621/8301055,Mannheim Hbf,202,Mannheim,Knotenbahnhof,Regionaler Knoten,8.0
13,8000019,[],HBHA,281,Bad Harzburg,75.05,4,3,True,True,True,True,False,True,True,yes,no,False,False,False,False,False,False,Niedersachsen,"[{'rilIdentifier': 'HBHA', 'isMain': True, 'hasSteamPermission': True, 'steamPermission': 'unrestricted', 'geographicCoordinates': {'type': 'Point', 'coordinates': [10.555444, 51.888116]}}]",location,51.8883687,10.5542189,operator,regionalverband-grossraum-braunschweig,RVB,3,RB Nord,RB Nord,8,0511/2861055,Hannover Hbf,20,Braunschweig / Göttingen,Zubringerbahnhof,Regionaler Zubringer,6.0
14,8000020,[],FBHF,282,Bad Hersfeld,144.35,3,3,True,True,True,True,False,True,False,yes,no,False,True,True,False,False,False,Hessen,"[{'rilIdentifier': 'FBHF', 'isMain': True, 'hasSteamPermission': True, 'steamPermission': 'unrestricted', 'geographicCoordinates': {'type': 'Point', 'coordinates': [9.716182, 50.869632]}}]",location,50.869632,9.716182,operator,nordhessischer-verkehrsverbund-mbh,NVV,5,RB Mitte,RB Mitte,48,0561/7861055,Kassel-Wilhelmshöhe,168,Kassel,Knotenbahnhof,Regionaler Knoten,7.0
15,8000021,[],SBKN,296,Bad Kreuznach,413.4,3,3,True,True,False,True,True,True,False,yes,Nur nach Voranmeldung unter 030 65 21 28 88 (Ortstarif),False,True,False,False,False,True,Rheinland-Pfalz,"[{'rilIdentifier': 'SBKN', 'isMain': True, 'hasSteamPermission': True, 'steamPermission': 'unrestricted', 'geographicCoordinates': {'type': 'Point', 'coordinates': [7.866435, 49.842399]}}]",location,49.842399,7.866435,operator,zweckverband-schienenpersonennahverkehr-rheinland-pfalz-sud,ZPNV Süd,5,RB Mitte,RB Mitte,24,06131/151055,Mainz Hbf,184,Mainz,Knotenbahnhof,Regionaler Knoten,7.0
16,8000023,[],AO,317,Bad Oldesloe,139.25,2,2,True,True,True,True,False,True,True,yes,"Ja, um Voranmeldung unter 030 65 21 28 88 (Ortstarif) wird gebeten",True,False,False,False,True,False,Schleswig-Holstein,"[{'rilIdentifier': 'AO', 'isMain': True, 'hasSteamPermission': True, 'steamPermission': 'unrestricted', 'geographicCoordinates': {'type': 'Point', 'coordinates': [10.3825414, 53.8053902]}}]",location,53.8053902,10.3825414,operator,nahverkehrsverbund-schleswig-holstein-gmbh,NAH.SH,3,RB Nord,RB Nord,3,0431-2479-1055,Kiel Hbf,4,Schleswig-Holstein,Knotenbahnhof,Regionaler Knoten,7.0
